"ID";"CODICE";"DESC_ESTESA";"DESC_ABBREVIATA"
"1";12;"Passeggiata";"Psg"
"2";13;"Alzaia";"Alz"
"3";14;"Bastioni";"Bst"
"4";10;"Cavalcavia";"Cav"
"5";11;"Corso";"Cso"
"6";16;"Foro";"For"
"7";17;"Galleria";"Gll"
"8";18;"Giardini";"Grd"
"9";27;"Giardino";"Grd"
"10";4;"Largo";"Lgo"
"11";19;"Monte";"Mnt"
"12";20;"Parco";"Par"
"13";15;"Passaggio";"Pas"
"14";3;"Piazza";"Pza"
"15";7;"Piazzale";"Ple"
"16";21;"Piazzetta";"Pzt"
"17";8;"Ponte";"Pte"
"18";26;"Porta";"Pta"
"19";28;"Raccordo Cavalcavia";"Rca"
"20";22;"Ripa";"Rip"
"21";23;"Sito";"Sit"
"22";9;"Sottopasso";"Stt"
"23";24;"Sottovia";"Stv"
"24";25;"Strada";"Sda"
"25";29;"Superstrada";"Sup"
"26";30;"Tangenziale";"Tgz"
"27";1;"Via";"Via"
"28";6;"Via privata";"Vpr"
"29";2;"Viale";"Vle"
"30";5;"Vicolo";"Vlo"
"41";31;"Passerella";"Psr"
"61";32;"Rotatoria";"Rot"
"81";33;"Sopraelevata";"Spr"
"101";34;"Sentiero";"Snt"
